Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
Cargo and freight agents,19,N/A,11,N/A,8,N/A
Couriers and messengers,260,769,221,789,40,N/A
Dispatchers,240,806,108,854,131,763
"Meter readers, utilities",13,N/A,12,N/A,1,N/A
Postal service clerks,73,907,30,N/A,43,N/A
Postal service mail carriers,296,951,185,994,111,893
"Postal service mail sorters, processors, and processing machine operators",67,"1,145",37,N/A,30,N/A
"Production, planning, and expediting clerks",268,939,114,"1,039",154,872
"Shipping, receiving, and traffic clerks",507,679,332,686,175,662
Stock clerks and order fillers,"1,016",599,636,596,380,605
"Weighers, measurers, checkers, and samplers, recordkeeping",53,716,26,N/A,27,N/A
Secretaries and administrative assistants,"2,069",765,137,795,"1,932",763
Computer operators,68,960,41,N/A,28,N/A
Data entry keyers,203,675,50,738,153,656
Word processors and typists,36,N/A,6,N/A,30,N/A
Desktop publishers,0,N/A,0,N/A,0,N/A
Insurance claims and policy processing clerks,251,746,47,N/A,204,739
"Mail clerks and mail machine operators, except postal service",48,N/A,26,N/A,22,N/A
"Office clerks, general",997,685,188,718,809,677
"Office machine operators, except computer",30,N/A,13,N/A,17,N/A
Proofreaders and copy markers,5,N/A,1,N/A,4,N/A
Statistical assistants,58,"1,480",33,N/A,25,N/A
"Office and administrative support workers, all other",522,866,147,950,375,820
"Natural resources, construction, and maintenance occupations","11,671",869,"11,134",881,537,614
"Farming, fishing, and forestry occupations",900,574,690,593,210,513
"First-line supervisors of farming, fishing, and forestry workers",40,N/A,37,N/A,3,N/A
Agricultural inspectors,16,N/A,7,N/A,8,N/A
Animal breeders,2,N/A,1,N/A,1,N/A
"Graders and sorters, agricultural products",78,564,29,N/A,50,549
Miscellaneous agricultural workers,691,558,544,581,148,502
Fishers and related fishing workers,14,N/A,14,N/A,0,N/A
Hunters and trappers,0,N/A,0,N/A,0,N/A
Forest and conservation workers,14,N/A,13,N/A,1,N/A
Logging workers,44,N/A,44,N/A,0,N/A
Construction and extraction occupations,"6,467",866,"6,280",873,187,711
First-line supervisors of construction trades and extraction workers,586,"1,162",571,"1,167",15,N/A
Boilermakers,26,N/A,26,N/A,0,N/A
"Brickmasons, blockmasons, and stonemasons",115,817,114,819,1,N/A
Carpenters,873,820,855,826,18,N/A
"Carpet, floor, and tile installers and finishers",118,708,115,709,3,N/A
"Cement masons, concrete finishers, and terrazzo workers",60,975,60,975,0,N/A
Construction laborers,"1,434",723,"1,393",724,41,N/A
"Paving, surfacing, and tamping equipment operators",20,N/A,20,N/A,0,N/A
Pile-driver operators,1,N/A,1,N/A,0,N/A
Operating engineers and other construction equipment operators,354,930,350,927,5,N/A
"Drywall installers, ceiling tile installers, and tapers",131,790,131,790,0,N/A
Electricians,814,"1,012",799,"1,015",15,N/A
Glaziers,35,N/A,32,N/A,3,N/A
Insulation workers,56,877,54,885,2,N/A
"Painters, construction and maintenance",395,732,364,744,31,N/A
Paperhangers,4,N/A,4,N/A,0,N/A
"Pipelayers, plumbers, pipefitters, and steamfitters",561,921,546,918,15,N/A
Plasterers and stucco masons,15,N/A,15,N/A,1,N/A
Reinforcing iron and rebar workers,3,N/A,3,N/A,0,N/A
Roofers,156,687,154,690,2,N/A
Sheet metal workers,124,894,117,900,6,N/A
Structural iron and steel workers,71,"1,057",71,"1,057",0,N/A
Solar photovoltaic installers,16,N/A,15,N/A,1,N/A
"Helpers, construction trades",51,612,48,N/A,2,N/A
Construction and building inspectors,77,"1,134",70,"1,134",7,N/A
Elevator installers and repairers,19,N/A,18,N/A,1,N/A
Fence erectors,26,N/A,26,N/A,0,N/A
Hazardous materials removal workers,36,N/A,30,N/A,6,N/A
Highway maintenance workers,96,799,91,806,5,N/A
Rail-track laying and maintenance equipment operators,4,N/A,4,N/A,0,N/A
Septic tank servicers and sewer pipe cleaners,6,N/A,6,N/A,0,N/A
Miscellaneous construction and related workers,26,N/A,26,N/A,0,N/A
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",24,N/A,24,N/A,0,N/A
"Earth drillers, except oil and gas",15,N/A,13,N/A,2,N/A
"Explosives workers, ordnance handling experts, and blasters",8,N/A,8,N/A,0,N/A
Mining machine operators,51,"1,094",50,"1,101",1,N/A
"Roof bolters, mining",1,N/A,1,N/A,0,N/A
"Roustabouts, oil and gas",7,N/A,7,N/A,0,N/A
Helpers--extraction workers,3,N/A,3,N/A,0,N/A
Other extraction workers,51,"1,128",45,N/A,5,N/A
"Installation, maintenance, and repair occupations","4,304",939,"4,164",943,140,850
